round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T16:11:01.884011,40.995655,20.362305,40.901867,33.752914,1123.56,2354,,,main,13490.00,1
1,2025-12-28T16:11:05.097232,38.756691,30.531382,40.901867,33.752914,364.06,3917,,,baseline,13490.00,1
2,2025-12-28T16:11:43.078679,38.945862,-81.514778,45.968716,-72.548645,1071.44,2438,,,main,1510.00,1816
2,2025-12-28T16:11:46.723947,41.052818,-77.189766,45.968716,-72.548645,662.21,3208,,,baseline,1510.00,1816
3,2025-12-28T16:12:30.676948,-37.398144,175.206238,-40.360992,175.546753,330.77,4006,,,main,12605.00,1
3,2025-12-28T16:12:34.008352,-40.563892,175.730438,-40.360992,175.546753,27.40,4909,,,baseline,12605.00,1
4,2025-12-28T16:13:18.275279,45.334675,-90.962379,45.256081,-94.671234,290.21,4116,,,main,678.00,3174
4,2025-12-28T16:13:21.736862,44.929897,-96.061531,45.256081,-94.671234,115.00,4629,,,baseline,678.00,3174
5,2025-12-28T16:14:09.968800,1.335942,104.168243,1.341305,103.686432,53.56,4824,,,main,19.00,4938
5,2025-12-28T16:14:13.610854,1.379167,103.736832,1.341305,103.686432,7.01,4977,,,baseline,19.00,4938
